"ItemNumber","Supplier","SupplierName","Month","MrpPlannedQty","SupplierSchedQty","Delta","CoverageRatio","Status","InsightCategory","Priority","Recommendation","PotentialImpact","SafetyStock","StandardPack","TransportDays","Planner"
"108363-20_C","393400","","2025-12","0","780000","-780000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 780000 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-20_C","393400","","2026-02","0","480000","-480000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 480000 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-20_C","393400","","2026-03","0","300000","-300000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 300000 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-20_D","300179","","2026-04","0","1","-1","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 1 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-20_M","393400","","2025-12","0","3000000","-3000000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 3000000 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-20_M","393400","","2026-02","0","1900000","-1900000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 1900000 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-20_M","393400","","2026-03","0","4500000","-4500000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 4500000 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-20_M","393400","","2026-05","0","2022400","-2022400","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 2022400 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-20_M","393400","","2026-06","0","1491000","-1491000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 1491000 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-20_M","393400","","2026-07","0","2326000","-2326000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 2326000 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-20_M","393400","","2026-08","0","1926600","-1926600","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 1926600 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-20_M","393400","","2026-09","0","2289000","-2289000","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 2289000 but MRP is unaware. Risk of surprise shortage.","","","",""
"108363-20_M","393400","","2026-10","0","997400","-997400","0","MRP_Missing","MRP_BLIND_SPOT","Critical","Supplier has schedule but MRP shows no demand. Check: (1) Item in BOM? (2) FG has active schedule? (3) PO line active?","Supplier expects 997400 but MRP is unaware. Risk of surprise shortage.","","","",""
